entry_time,rows,unique_symbols,unique_signal_times,duplicate_rows,expected_signal_time,timing_ok
2026-03-24 04:00:00+00:00,4,4,1,0,2026-03-24 00:00:00+00:00,True
2026-03-25 20:00:00+00:00,4,4,1,0,2026-03-25 16:00:00+00:00,True
2026-03-26 04:00:00+00:00,4,4,1,0,2026-03-26 00:00:00+00:00,True
2026-03-26 16:00:00+00:00,4,4,1,0,2026-03-26 12:00:00+00:00,True
2026-03-29 08:00:00+00:00,4,4,1,0,2026-03-29 04:00:00+00:00,True
2026-04-02 16:00:00+00:00,4,4,1,0,2026-04-02 12:00:00+00:00,True
2026-04-02 20:00:00+00:00,4,4,1,0,2026-04-02 16:00:00+00:00,True
2026-04-03 20:00:00+00:00,4,4,1,0,2026-04-03 16:00:00+00:00,True
2026-04-07 00:00:00+00:00,4,4,1,0,2026-04-06 20:00:00+00:00,True
2026-04-07 04:00:00+00:00,4,4,1,0,2026-04-07 00:00:00+00:00,True
2026-04-07 12:00:00+00:00,4,4,1,0,2026-04-07 08:00:00+00:00,True
2026-04-09 08:00:00+00:00,4,4,1,0,2026-04-09 04:00:00+00:00,True
2026-04-14 08:00:00+00:00,4,4,1,0,2026-04-14 04:00:00+00:00,True
2026-04-18 16:00:00+00:00,4,4,1,0,2026-04-18 12:00:00+00:00,True
2026-04-23 04:00:00+00:00,4,4,1,0,2026-04-23 00:00:00+00:00,True
2026-05-20 00:00:00+00:00,4,4,1,0,2026-05-19 20:00:00+00:00,True
2026-05-26 16:00:00+00:00,4,4,1,0,2026-05-26 12:00:00+00:00,True
2026-05-27 12:00:00+00:00,4,4,1,0,2026-05-27 08:00:00+00:00,True
2026-05-27 20:00:00+00:00,4,4,1,0,2026-05-27 16:00:00+00:00,True
2026-05-31 16:00:00+00:00,4,4,1,0,2026-05-31 12:00:00+00:00,True
2026-06-01 08:00:00+00:00,4,4,1,0,2026-06-01 04:00:00+00:00,True
2026-06-03 16:00:00+00:00,4,4,1,0,2026-06-03 12:00:00+00:00,True
2026-06-06 04:00:00+00:00,4,4,1,0,2026-06-06 00:00:00+00:00,True
2026-06-08 08:00:00+00:00,4,4,1,0,2026-06-08 04:00:00+00:00,True
2026-06-09 20:00:00+00:00,4,4,1,0,2026-06-09 16:00:00+00:00,True
2026-06-10 04:00:00+00:00,4,4,1,0,2026-06-10 00:00:00+00:00,True
2026-06-20 04:00:00+00:00,4,4,1,0,2026-06-20 00:00:00+00:00,True
2026-06-22 16:00:00+00:00,4,4,1,0,2026-06-22 12:00:00+00:00,True
2026-06-22 20:00:00+00:00,4,4,1,0,2026-06-22 16:00:00+00:00,True
2026-06-23 04:00:00+00:00,4,4,1,0,2026-06-23 00:00:00+00:00,True
2026-06-24 04:00:00+00:00,4,4,1,0,2026-06-24 00:00:00+00:00,True
2026-07-01 00:00:00+00:00,4,4,1,0,2026-06-30 20:00:00+00:00,True
2026-07-01 20:00:00+00:00,4,4,1,0,2026-07-01 16:00:00+00:00,True
2026-07-07 16:00:00+00:00,4,4,1,0,2026-07-07 12:00:00+00:00,True
2026-07-13 00:00:00+00:00,4,4,1,0,2026-07-12 20:00:00+00:00,True
2026-07-13 16:00:00+00:00,4,4,1,0,2026-07-13 12:00:00+00:00,True
2026-07-14 00:00:00+00:00,4,4,1,0,2026-07-13 20:00:00+00:00,True
2026-07-16 12:00:00+00:00,4,4,1,0,2026-07-16 08:00:00+00:00,True
2026-07-18 04:00:00+00:00,4,4,1,0,2026-07-18 00:00:00+00:00,True
2026-07-19 12:00:00+00:00,4,4,1,0,2026-07-19 08:00:00+00:00,True
2026-07-24 04:00:00+00:00,4,4,1,0,2026-07-24 00:00:00+00:00,True
2026-07-27 08:00:00+00:00,4,4,1,0,2026-07-27 04:00:00+00:00,True
2026-07-29 08:00:00+00:00,4,4,1,0,2026-07-29 04:00:00+00:00,True
2026-07-30 20:00:00+00:00,4,4,1,0,2026-07-30 16:00:00+00:00,True
2026-07-31 08:00:00+00:00,4,4,1,0,2026-07-31 04:00:00+00:00,True
2026-08-02 12:00:00+00:00,4,4,1,0,2026-08-02 08:00:00+00:00,True
2026-08-05 04:00:00+00:00,4,4,1,0,2026-08-05 00:00:00+00:00,True
2026-08-06 00:00:00+00:00,4,4,1,0,2026-08-05 20:00:00+00:00,True
2026-08-13 08:00:00+00:00,4,4,1,0,2026-08-13 04:00:00+00:00,True
2026-08-15 20:00:00+00:00,4,4,1,0,2026-08-15 16:00:00+00:00,True
2026-08-17 20:00:00+00:00,4,4,1,0,2026-08-17 16:00:00+00:00,True
2026-08-19 08:00:00+00:00,4,4,1,0,2026-08-19 04:00:00+00:00,True
2025-12-09 04:00:00+00:00,3,3,1,0,2025-12-09 00:00:00+00:00,True
2025-12-10 04:00:00+00:00,3,3,1,0,2025-12-10 00:00:00+00:00,True
2025-12-11 00:00:00+00:00,3,3,1,0,2025-12-10 20:00:00+00:00,True
2025-12-11 08:00:00+00:00,3,3,1,0,2025-12-11 04:00:00+00:00,True
2025-12-15 04:00:00+00:00,3,3,1,0,2025-12-15 00:00:00+00:00,True
