symbol,variant,candles,trades,profit_factor,expectancy_r,win_rate,total_return_pct,max_drawdown_pct,longs,shorts,filled,expired
ASRUSDT,15m_d4_e24,11520,9,0.7613026146947226,-0.12175056228700838,33.333333333333336,-3.1482943982396816,-12.058982611868498,3,6,9,8
ASRUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
ASRUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
LAUSDT,1h_d3_e24,2880,24,0.7559664722737123,-0.18172492962773026,29.166666666666668,-6.61956401381606,-21.775518717070167,13,11,25,19
LAUSDT,1h_d4_e24,2880,9,0.253249717092771,-0.6447464135360702,11.11111111111111,-11.170008720044267,-14.256831202782497,4,5,9,16
LAUSDT,15m_d3_e24,11520,106,1.1107487690105131,0.10449170533623581,39.62264150943396,18.969953157675135,-15.737829707471343,53,53,106,60
LAUSDT,15m_d4_e24,11520,53,0.9408673319169693,-0.02990860504809975,35.84905660377358,-4.502657127919473,-17.627734705221382,27,26,53,39
LAUSDT,15m_d12_e96,11520,1,inf,1.9198009185161815,100.0,3.839601837032358,0.0,1,0,1,0
LAUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
SUSDT,1h_d3_e24,2880,26,1.256484631046499,0.1956390298005089,42.30769230769231,9.37051634309627,-8.04767677433603,16,10,26,16
SUSDT,1h_d4_e24,2880,13,1.0932802623391584,0.08742572530006172,38.46153846153846,1.720117118759168,-13.051026296315538,6,7,13,8
SUSDT,15m_d3_e24,11520,65,1.1780337761596438,0.13333700473205592,41.53846153846154,14.14921181046951,-13.831826053039123,34,31,66,45
SUSDT,15m_d4_e24,11520,38,1.1891610690841583,0.15737804536833125,42.10526315789474,10.216165976642033,-14.794482850171626,19,19,38,31
SUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
SUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
ARKMUSDT,1h_d3_e24,2880,31,0.9539353545919412,-0.009515162707664851,35.483870967741936,-1.890462447214214,-16.909176436312183,15,16,31,18
ARKMUSDT,1h_d4_e24,2880,16,1.063965830084931,0.06602958745336218,37.5,1.427252119881306,-15.739616837103574,9,7,16,9
ARKMUSDT,15m_d3_e24,11520,44,0.5678243768516709,-0.36563842051304785,25.0,-28.741444514742554,-33.17692020517139,25,19,44,46
