candidate,symbol,d,entry_time,exit_time,side,r_multiple,pnl
BTC_D3,BTCUSDT,3,2024-10-17 15:00:00+00:00,2024-10-17 18:00:00+00:00,short,1.9551407798813343,21.299018031606273
BTC_D3,BTCUSDT,3,2024-10-17 19:00:00+00:00,2024-10-18 01:00:00+00:00,short,-1.095497690413336,-12.400852300513394
BTC_D3,BTCUSDT,3,2024-10-18 10:00:00+00:00,2024-10-18 14:00:00+00:00,short,-1.1510999108626327,-12.744767821583347
BTC_D3,BTCUSDT,3,2024-10-19 14:00:00+00:00,2024-10-20 14:00:00+00:00,short,-1.408529119569256,-15.235949436961043
BTC_D3,BTCUSDT,3,2024-10-25 07:00:00+00:00,2024-10-25 11:00:00+00:00,long,1.9532411840026522,20.532867600828414
BTC_D3,BTCUSDT,3,2024-10-25 15:00:00+00:00,2024-10-25 17:00:00+00:00,long,-1.1478146847359079,-12.537419374226543
BTC_D3,BTCUSDT,3,2024-10-26 14:00:00+00:00,2024-10-26 20:00:00+00:00,long,1.9355210986624978,20.656097643389568
BTC_D3,BTCUSDT,3,2024-10-27 03:00:00+00:00,2024-10-27 12:00:00+00:00,short,-1.2107840027031778,-13.421823748749294
BTC_D3,BTCUSDT,3,2024-11-02 04:00:00+00:00,2024-11-02 14:00:00+00:00,long,-1.2409865997281235,-13.42350052975305
BTC_D3,BTCUSDT,3,2024-11-04 00:00:00+00:00,2024-11-04 16:00:00+00:00,long,-1.094553141422922,-11.54570479649271
BTC_D3,BTCUSDT,3,2024-11-09 18:00:00+00:00,2024-11-09 19:00:00+00:00,short,-1.3187470942576556,-13.606058699412987
BTC_D3,BTCUSDT,3,2024-11-15 15:00:00+00:00,2024-11-15 19:00:00+00:00,long,1.9678616327124172,19.76774479969812
BTC_D3,BTCUSDT,3,2024-11-18 13:00:00+00:00,2024-11-18 15:00:00+00:00,long,1.9659780361110237,20.526082563740072
BTC_D3,BTCUSDT,3,2024-11-18 19:00:00+00:00,2024-11-18 20:00:00+00:00,long,1.9659780361110237,21.333159113494357
BTC_D3,BTCUSDT,3,2024-11-19 09:00:00+00:00,2024-11-19 13:00:00+00:00,long,1.9600323741949917,22.104915383792154
BTC_D3,BTCUSDT,3,2024-11-19 18:00:00+00:00,2024-11-21 04:00:00+00:00,long,1.9847131006452359,23.26069876772543
BTC_D3,BTCUSDT,3,2024-11-22 11:00:00+00:00,2024-11-22 13:00:00+00:00,short,1.95550101938292,23.828061620886988
BTC_D3,BTCUSDT,3,2024-11-24 04:00:00+00:00,2024-11-24 10:00:00+00:00,long,-1.19153070847758,-15.086810671655297
BTC_D3,BTCUSDT,3,2024-11-24 23:00:00+00:00,2024-11-25 00:00:00+00:00,short,1.9039747067696657,23.533068493328607
BTC_D3,BTCUSDT,3,2024-11-28 15:00:00+00:00,2024-11-29 02:00:00+00:00,long,1.9499772821967374,25.01943788177844
BTC_D3,BTCUSDT,3,2024-12-02 14:00:00+00:00,2024-12-02 15:00:00+00:00,short,-1.133526090323197,-15.111058075488689
BTC_D3,BTCUSDT,3,2024-12-04 02:00:00+00:00,2024-12-04 06:00:00+00:00,long,1.9514233940434986,25.42470129148595
BTC_D3,BTCUSDT,3,2024-12-04 12:00:00+00:00,2024-12-04 13:00:00+00:00,long,-1.2826303458292256,-17.36334160396134
BTC_D3,BTCUSDT,3,2024-12-09 02:00:00+00:00,2024-12-09 03:00:00+00:00,long,-1.1560212304916375,-15.2479492009134
BTC_D3,BTCUSDT,3,2024-12-09 14:00:00+00:00,2024-12-09 17:00:00+00:00,short,1.977963970053433,25.486196793683202
BTC_D3,BTCUSDT,3,2024-12-14 11:00:00+00:00,2024-12-14 13:00:00+00:00,short,1.916537038896597,25.67161151892486
BTC_D3,BTCUSDT,3,2024-12-14 15:00:00+00:00,2024-12-14 17:00:00+00:00,short,1.916537038896597,26.655623405408537
BTC_D3,BTCUSDT,3,2024-12-14 17:00:00+00:00,2024-12-14 20:00:00+00:00,long,-1.1725481180929098,-16.933160041069304
BTC_D3,BTCUSDT,3,2024-12-15 08:00:00+00:00,2024-12-15 12:00:00+00:00,short,-1.0943793534962685,-15.433672719287049
BTC_D3,BTCUSDT,3,2024-12-18 11:00:00+00:00,2024-12-18 16:00:00+00:00,short,1.954567588580515,26.961301855078286
BTC_D3,BTCUSDT,3,2024-12-19 13:00:00+00:00,2024-12-19 14:00:00+00:00,long,-1.2168072218712715,-17.44077079952975
BTC_D3,BTCUSDT,3,2024-12-22 12:00:00+00:00,2024-12-22 14:00:00+00:00,long,-1.1340186614033951,-15.858580604568548
BTC_D3,BTCUSDT,3,2024-12-24 06:00:00+00:00,2024-12-24 13:00:00+00:00,long,1.9652613254793763,26.859692769767918
BTC_D3,BTCUSDT,3,2024-12-29 02:00:00+00:00,2024-12-29 19:00:00+00:00,short,1.9620410424387398,27.869676789509995
BTC_D3,BTCUSDT,3,2025-01-06 01:00:00+00:00,2025-01-06 02:00:00+00:00,long,1.9362460578051781,28.582524744050193
BTC_D3,BTCUSDT,3,2025-01-06 10:00:00+00:00,2025-01-06 14:00:00+00:00,long,1.9520682689253992,29.931990241823744
BTC_D3,BTCUSDT,3,2025-01-10 15:00:00+00:00,2025-01-10 17:00:00+00:00,long,1.9773722981472894,31.5037227110853
BTC_D3,BTCUSDT,3,2025-01-12 12:00:00+00:00,2025-01-12 13:00:00+00:00,short,-1.4185134100871204,-23.49368774020254
BTC_D3,BTCUSDT,3,2025-01-12 22:00:00+00:00,2025-01-13 00:00:00+00:00,long,1.9512305631523559,31.399818085650196
BTC_D3,BTCUSDT,3,2025-01-13 21:00:00+00:00,2025-01-14 01:00:00+00:00,short,-1.1351516317255201,-18.980089438316536
BTC_D3,BTCUSDT,3,2025-01-22 04:00:00+00:00,2025-01-23 01:00:00+00:00,long,-1.0487934393963485,-17.138029654046093
