candidate,freq,period,trades,pf,expectancy_r,wins,losses
BTC_D4,M,2020-08,4,5.269054310481897,1.186167705650302,3,1
BTC_D4,M,2020-09,4,4.926629908021956,1.170820790249818,3,1
BTC_D4,M,2020-10,7,0.2763036970621058,-0.7365080299500458,1,6
BTC_D4,M,2020-11,5,2.7391267314519863,0.7540787368631825,3,2
BTC_D4,M,2020-12,6,0.0,-1.1121159955602755,0,6
BTC_D4,M,2021-01,7,0.30876661248585274,-0.6386601110048752,1,6
BTC_D4,M,2021-02,6,0.36677955850705,-0.5714893725127816,1,5
BTC_D4,M,2021-03,2,1.7888138117226842,0.4379552996611731,1,1
BTC_D4,M,2021-04,4,0.0,-1.1586413163452605,0,4
BTC_D4,M,2021-05,9,0.23282991693168842,-0.728670014428988,1,8
BTC_D4,M,2021-06,3,0.9209450074349322,-0.05654172284926869,1,2
BTC_D4,M,2021-07,6,0.8797450897314939,-0.0899499201855583,2,4
BTC_D4,M,2021-08,6,0.8787679709516851,-0.09036826627729377,2,4
BTC_D4,M,2021-09,7,2.366671923203529,0.6504662903164241,4,3
BTC_D4,M,2021-10,3,0.0,-1.095757881238896,0,3
BTC_D4,M,2021-11,4,5.332282263400344,1.2058368040414116,3,1
BTC_D4,M,2021-12,3,0.9328004990941191,-0.047661382664660946,1,2
BTC_D4,M,2022-01,8,2.8736638721751895,0.7997785436943636,5,3
BTC_D4,M,2022-02,5,0.4292545385667414,-0.5165283632804905,1,4
BTC_D4,M,2022-03,5,2.5849358813461096,0.7249257682241332,3,2
BTC_D4,M,2022-04,3,0.8939588820759832,-0.07810496292431823,1,2
BTC_D4,M,2022-05,9,0.5126186525631212,-0.4155941730796397,2,7
BTC_D4,M,2022-06,7,1.4149885307220575,0.24755811311756282,3,4
BTC_D4,M,2022-07,3,3.8000804367063474,0.9704631048804059,2,1
BTC_D4,M,2022-08,9,0.4813624249909017,-0.4728488190759884,2,7
BTC_D4,M,2022-09,9,1.386854271314968,0.24326031144528468,4,5
BTC_D4,M,2022-10,5,0.0,-1.233206952151808,0,5
BTC_D4,M,2022-11,4,0.5929254157144771,-0.34223374762981934,1,3
BTC_D4,M,2022-12,1,inf,1.9689020796003853,1,0
BTC_D4,M,2023-01,5,4.914425155789898,1.1940352826581335,4,1
BTC_D4,M,2023-02,2,1.6945750286000152,0.4044153660078377,1,1
BTC_D4,M,2023-03,5,0.43928866578714326,-0.5018954360231045,1,4
BTC_D4,M,2023-04,6,3.5577243702702415,0.9251464961212532,4,2
BTC_D4,M,2023-05,1,0.0,-1.1160141250957918,0,1
BTC_D4,M,2023-06,2,0.0,-1.4097044891329482,0,2
BTC_D4,M,2023-07,5,0.3914985561668086,-0.6091480017976838,1,4
BTC_D4,M,2023-08,6,0.7403348249098488,-0.227822326118119,2,4
BTC_D4,M,2023-09,4,1.3633705980017266,0.2618441599104432,2,2
BTC_D4,M,2023-10,4,4.672542695647962,1.1548175687311715,3,1
BTC_D4,M,2023-11,6,3.3183736336182323,0.903204447899598,4,2
BTC_D4,M,2023-12,3,3.2744222243753653,0.9078484435361623,2,1
BTC_D4,M,2024-01,3,0.8942318286813277,-0.0780611915761827,1,2
BTC_D4,M,2024-02,6,0.3286767429034469,-0.6468785733515912,1,5
BTC_D4,M,2024-03,3,0.9076438782574394,-0.06600097537992584,1,2
BTC_D4,M,2024-04,4,4.792178059045834,1.1696777474863025,3,1
