entry_time,r,side
2023-06-25 17:00:00+00:00,-1.1282340026409428,long
2023-06-26 14:00:00+00:00,-1.1519101613644658,long
2023-06-27 22:00:00+00:00,-1.0828386932839402,long
2023-07-01 12:00:00+00:00,-1.151699707586633,short
2023-07-04 09:00:00+00:00,-1.0805777028528913,long
2023-07-05 20:00:00+00:00,-1.0748428955225537,long
2023-07-09 02:00:00+00:00,-1.280749535695449,long
2023-07-09 08:00:00+00:00,1.9311292026312037,short
2023-07-11 15:00:00+00:00,1.932700438228306,short
2023-07-12 01:00:00+00:00,1.906076410053431,long
2023-07-12 12:00:00+00:00,1.9257294497016437,short
2023-07-18 17:00:00+00:00,-1.0482130258621074,short
2023-07-29 17:00:00+00:00,-1.2602971413762107,short
2023-07-30 00:00:00+00:00,1.9375231803237012,long
2023-08-06 08:00:00+00:00,1.962653614554471,short
2023-08-07 12:00:00+00:00,-1.0534857462961695,long
2023-08-07 21:00:00+00:00,1.9913764998974706,long
2023-08-13 21:00:00+00:00,-1.294311079013932,long
2023-08-14 04:00:00+00:00,1.9649188818124328,short
2023-08-24 13:00:00+00:00,-1.0999910409943368,long
2023-08-26 02:00:00+00:00,-1.1677739779717007,short
2023-08-27 04:00:00+00:00,-1.3246931743578536,short
2023-08-29 09:00:00+00:00,1.9732175860449643,long
2023-08-31 00:00:00+00:00,-1.2275306732071452,long
2023-09-02 01:00:00+00:00,-1.0536772788406772,long
2023-09-15 12:00:00+00:00,-1.1660446064083816,long
2023-09-18 06:00:00+00:00,1.9791069801679366,long
2023-09-26 16:00:00+00:00,1.9270359419425644,short
2023-10-05 23:00:00+00:00,-1.218354607168268,long
2023-10-06 15:00:00+00:00,-1.275380700698038,short
2023-10-10 08:00:00+00:00,1.9722284251152864,short
2023-10-12 00:00:00+00:00,-1.1667894752063641,long
2023-10-13 00:00:00+00:00,-1.264215497014636,long
2023-10-13 13:00:00+00:00,1.9185329077069786,short
2023-10-15 13:00:00+00:00,-1.8052022614892607,long
2023-10-15 15:00:00+00:00,-1.371844431677304,short
2023-10-15 23:00:00+00:00,-1.432970138846596,long
2023-10-16 04:00:00+00:00,-1.170167474845175,short
2023-10-28 12:00:00+00:00,-1.2470203006624934,long
2023-10-29 06:00:00+00:00,-1.4197944479275877,short
